Occupation,Median wage (US),Projected growth (by 2031),Risk level,Risk level (voted),Job score
"Biological Science Teachers, Postsecondary ","81,650",0.124,0.0735,0.38,7.2/10
Art Directors ,"105,180",0.038,0.1371,0.31,7.2/10
Midwives ,"60,160",0.057,0.0102,0.1979,7.2/10
Molecular and Cellular Biologists ,"87,300",0.038,0.1324,0.2452,7.2/10
Biologists ,"87,300",0.038,0.0455,0.2731,7.2/10
Environmental Engineers ,"96,530",0.042,0.0066,0.298,7.2/10
Lodging Managers ,"61,910",0.18,0.31,0.2667,7.2/10
"Electronics Engineers, Except Computer ","108,170",0.06,0.2788,0.33,7.1/10
Automotive Engineers ,"96,310",0.022,0.1348,0.32,7.1/10
Preventive Medicine Physicians ,"223,410",0.024,0,0.44,7.1/10
Coroners ,"71,690",0.043,0.1732,0.15,7.1/10
Marine Engineers and Naval Architects ,"96,910",0.044,0.0184,0.2592,7.1/10
Biostatisticians ,"98,920",0.327,0.2747,0.41,7.0/10
"Pediatricians, General ","190,350",0.011,0.0516,0.1951,7.0/10
Water Resource Specialists ,"144,440",0.059,0.0439,0.56,7.0/10
Sales Engineers ,"108,530",0.057,0.34,0.32,7.0/10
Massage Therapists ,"49,860",0.2,0.2229,0.31,7.0/10
Paramedics ,"49,090",0.066,0,0.1616,7.0/10
School Psychologists ,"81,500",0.055,0.1985,0.2468,7.0/10
"Special Education Teachers, Elementary School ","62,390",0.038,0.0639,0.2,7.0/10
Chefs and Head Cooks ,"56,520",0.154,0.1158,0.35,7.0/10
"Special Education Teachers, Kindergarten ","62,390",0.038,0.0639,0.2143,7.0/10
Investment Fund Managers ,"139,790",0.168,0.64,0.45,7.0/10
Licensed Practical and Licensed Vocational Nurses ,"54,620",0.063,0.2588,0.2623,7.0/10
"Elementary School Teachers, Except Special Education ","61,690",0.04,0.124,0.2754,7.0/10
Sociologists ,"98,590",0.054,0.2235,0.2176,7.0/10
Animal Scientists ,"69,390",0.118,0.1797,0.2578,7.0/10
Acute Care Nurses ,"81,220",0.062,0.0888,0.05,7.0/10
"Anthropology and Archeology Teachers, Postsecondary ","85,000",0.083,0,0.35,7.0/10
"Architecture Teachers, Postsecondary ","93,220",0.078,0,0.41,7.0/10
Industrial-Organizational Psychologists ,"139,280",0.038,0.0441,0.2483,7.0/10
Music Therapists ,"60,800",0.112,0,0.36,7.0/10
"Law Teachers, Postsecondary ","108,860",0.089,0.2632,0.33,7.0/10
Optometrists ,"125,590",0.096,0.2645,0.49,6.9/10
Actors ,-,0.082,0.1549,0.2798,6.9/10
"Engineering Teachers, Postsecondary ","103,550",0.133,0.107,0.54,6.9/10
Geneticists ,"87,300",0.038,0.182,0.2763,6.9/10
Health Education Specialists ,"59,990",0.076,0.0314,0.33,6.9/10
Occupational Health and Safety Specialists ,"78,570",0.045,0.0731,0.31,6.9/10
Aircraft Mechanics and Service Technicians ,"70,010",0.061,0.37,0.2576,6.9/10
Respiratory Therapists ,"70,540",0.136,0.2923,0.36,6.9/10
Family Medicine Physicians ,"211,300",0.033,0.2079,0.32,6.9/10
"Preschool Teachers, Except Special Education ","35,330",0.151,0.1894,0.1888,6.9/10
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers ","51,390",0.051,0.1926,0.1924,6.9/10
Computer Systems Analysts ,"102,240",0.094,0.54,0.35,6.9/10
Allergists and Immunologists ,"223,410",0.024,0.1264,0.33,6.9/10
Firefighters ,"51,680",0.043,0,0.2379,6.9/10
Training and Development Specialists ,"63,080",0.081,0.1534,0.36,6.9/10
Personal Financial Advisors ,"95,390",0.154,0.42,0.42,6.9/10
"Physics Teachers, Postsecondary ","86,550",0.079,0.0821,0.34,6.8/10
Elevator and Escalator Installers and Repairers ,"99,000",0.029,0.1985,0.2269,6.8/10
Actuaries ,"113,990",0.208,0.52,0.41,6.8/10
Statisticians ,"98,920",0.327,0.41,0.41,6.8/10
"Morticians, Undertakers, and Funeral Arrangers ","51,570",0.09,0.1857,0.157,6.8/10
"Geoscientists, Except Hydrologists and Geographers ","87,480",0.05,0.1906,0.32,6.8/10
Advertising and Promotions Managers ,"127,830",0.071,0.2512,0.37,6.8/10
"Environmental Scientists and Specialists, Including Health ","76,480",0.047,0.31,0.2645,6.8/10
"Education Teachers, Postsecondary ","66,930",0.085,0.1487,0.36,6.8/10
"English Language and Literature Teachers, Postsecondary ","74,280",0.063,0.1038,0.37,6.8/10
Natural Sciences Managers ,"144,440",0.059,0.2074,0.41,6.8/10
"Education and Childcare Administrators, Preschool and Daycare ","49,690",0.083,0.0855,0.2692,6.8/10
Mechanical Engineers ,"96,310",0.022,0.2135,0.33,6.8/10
Logisticians ,"77,520",0.277,0.39,0.45,6.8/10
Software Quality Assurance Analysts and Testers ,"99,620",0.208,0.44,0.5,6.8/10
Emergency Medical Technicians ,"36,680",0.07,0,0.1214,6.8/10
Instructional Coordinators ,"66,490",0.073,0.2244,0.33,6.8/10
"Transportation, Storage, and Distribution Managers ","98,560",0.084,0.33,0.48,6.8/10
Industrial Production Managers ,"107,560",0.035,0.38,0.32,6.8/10
Quality Control Systems Managers ,"107,560",0.035,0.35,0.36,6.8/10
Dental Hygienists ,"81,400",0.089,0.43,0.34,6.8/10
Security Management Specialists ,"75,990",0.05,0.1473,0.42,6.8/10
"Middle School Teachers, Except Special and Career/Technical Education ","61,810",0.041,0.1715,0.2837,6.8/10
Oral and Maxillofacial Surgeons ,-,0.046,0,0.1928,6.8/10
Orthodontists ,"174,360",0.045,0.1593,0.32,6.8/10
Compliance Managers ,"128,620",0.06,0.41,0.4,6.7/10
Forensic Science Technicians ,"63,740",0.114,0.35,0.3,6.7/10
"Criminal Justice and Law Enforcement Teachers, Postsecondary ","64,990",0.098,0.2934,0.2955,6.7/10
Animal Trainers ,"35,620",0.271,0.1365,0.2324,6.7/10
"Political Science Teachers, Postsecondary ","83,770",0.084,0.2573,0.34,6.7/10
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors ","100,660",0.035,0.08,0.33,6.7/10
Audio and Video Technicians ,"50,660",0.157,0.34,0.33,6.7/10
Clergy ,"55,550",0.043,0.0009,0.1156,6.7/10
"Mathematical Science Teachers, Postsecondary ","77,420",0.06,0.38,0.2679,6.7/10
"Kindergarten Teachers, Except Special Education ","60,490",0.043,0.0641,0.2705,6.7/10
"Special Education Teachers, Secondary School ","63,560",0.042,0.0484,0.2841,6.7/10
Psychiatric Technicians ,"37,380",0.109,0.198,0.1855,6.7/10
"Architects, Except Landscape and Naval ","82,840",0.027,0,0.34,6.7/10
"Energy Engineers, Except Wind and Solar ","104,600",0,0.0812,0.37,6.7/10
Radio Frequency Identification Device Specialists ,"108,170",0.06,0.2914,0,6.7/10
Flight Attendants ,"63,760",0.208,0.38,0.4,6.7/10
Veterinary Technologists and Technicians ,"38,240",0.196,0.36,0.2338,6.7/10
Validation Engineers ,"96,350",0.102,0.48,0.45,6.7/10
Web Administrators ,"98,740",0.101,0.37,0.59,6.7/10
Geographic Information Systems Technologists and Technicians ,"98,740",0.101,0.4,0.52,6.7/10
Health Informatics Specialists ,"102,240",0.094,0.111,0.7,6.7/10
Industrial Machinery Mechanics ,"59,830",0.164,0.55,0.33,6.7/10
Materials Scientists ,"104,380",0.06,0.2222,0.3,6.6/10
Emergency Management Directors ,"79,180",0.025,0,0.2717,6.6/10
Acupuncturists ,"72,220",0.039,0.0915,0.1912,6.6/10
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary ","80,910",0.085,0.1314,0.38,6.6/10
"Agricultural Sciences Teachers, Postsecondary ","85,860",0.073,0.0324,0.2778,6.6/10
Foresters ,"64,220",0.07,0.2002,0.2568,6.6/10
"Agents and Business Managers of Artists, Performers, and Athletes ","82,530",0.138,0.44,0.32,6.6/10
Podiatrists ,"148,720",0.02,0.118,0.33,6.6/10
Park Naturalists ,"64,460",0.03,0.0908,0.125,6.6/10
Medical Equipment Repairers ,"57,860",0.17,0.46,0.2981,6.6/10
Diagnostic Medical Sonographers ,"81,350",0.147,0.48,0.37,6.6/10
Environmental Restoration Planners ,"76,480",0.047,0.0236,0.25,6.6/10
"Mobile Heavy Equipment Mechanics, Except Engines ","59,440",0.076,0.41,0.32,6.5/10
Hydroelectric Production Managers ,"107,560",0.035,0.1775,0,6.5/10
Computer Network Architects ,"126,900",0.043,0.2625,0.39,6.5/10
